City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Snizhne,UA,86.2,few clouds,48.0261,38.7723,Yashoda devi
4,Oriximina,BR,87.31,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
5,Lethem,GY,78.84,overcast clouds,3.3803,-59.7968,Savannah Inn
13,Maceio,BR,83.64,scattered clouds,-9.6658,-35.7353,Poutur Pousada
17,Ribeira Grande,PT,75.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
22,Dingle,PH,78.37,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
25,Hof,DE,76.44,clear sky,50.3167,11.9167,Hotel Burghof
29,Puerto Cabezas,NI,84.16,broken clouds,14.0351,-83.3888,Cabaña Caribe
36,Marsa Matruh,EG,86.2,clear sky,31.3525,27.2453,Beau Site
38,Boa Vista,BR,76.98,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
41,Ambilobe,MG,76.35,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
42,Cururupu,BR,88.09,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
43,Hamilton,US,80.42,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
44,Binika,IN,76.98,light rain,21.0333,83.8,DISASTER ACCOMMODATION
46,Maiduguri,NG,79.75,overcast clouds,11.8464,13.1603,Kagel Mari Police Station
47,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
48,Ponnani,IN,79.92,overcast clouds,10.767,75.9252,Rouba Residency
50,Bengkulu,ID,78.39,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
51,Alvaraes,BR,76.87,overcast clouds,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
54,Juterbog,DE,75.85,overcast clouds,51.9833,13.0833,Landhaus Heinrichshof
56,Altea,ES,87.21,clear sky,38.5989,-0.0514,Albir Playa Hotel & Spa
58,Shahkot,IN,83.14,clear sky,31.0775,75.3372,Al Atif Goods Forwording Agency (Reg)
59,Bubaque,GW,76.39,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
62,Saint George,US,86.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
66,Galle,LK,80.02,overcast clouds,6.0367,80.217,Amangalla
70,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,El Medina
72,Conceicao Do Araguaia,BR,89.73,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
74,Diffa,NE,89.15,broken clouds,13.3154,12.6113,ProDAF/Diffa
76,Hithadhoo,MV,81.28,overcast clouds,-0.6,73.0833,Scoop Guest House
77,Hillside,US,78.71,overcast clouds,40.7012,-74.2301,Fleetwood Limousine WorldWide
81,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
84,Santa Rosa,PH,83.91,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
85,Sinnamary,GF,82.51,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
87,Maragogi,BR,79.14,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
95,Namibe,AO,77.63,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
100,Kutum,SD,88.86,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
103,Japura,ID,80.01,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
105,Springdale,US,86.25,clear sky,36.1867,-94.1288,Springdale Inn
106,Icod De Los Vinos,ES,81.66,few clouds,28.3724,-16.7119,Hotel Rural El Patio
107,Grand-Santi,GF,85.82,few clouds,4.25,-54.3833,Hotel La Villa Couacou
109,Sao Filipe,CV,75.29,overcast clouds,14.8961,-24.4956,Hotel Xaguate
110,Tournon-Sur-Rhone,FR,87.24,clear sky,45.0667,4.8333,Fac & Spera Hôtel et Spa
